פועל		שורש		בנין
נגבתם		נגב		פיעל
לטעת		נטע		פעל
יקום		נקם		פעל
חמצנה		חמצן		פיעל
מציבות		נצב		הפעיל
אתר		אתר		פיעל
הכרתי		נכר		הפעיל
הגענו		נגע		הפעיל
הדיחו		נדח		הפעיל
מנתרים		נתר		פיעל
מוכרים		נכר		הופעל
מוצבת		נצב		הופעל
מאורגן		ארגנ		פועל
קרבה		קרב		פעל
מגישים		נגש		הפעיל
אימת		אמת		פיעל
התלנו		נתל		הפעיל
הצבנו		נצב		הפעיל
יסעו		נסע		פעל
יסדו		נסד		פיעל
הודח		נדח		הופעל
אובק		אבק		פעל
זלזלו		זלזל		פיעל
תלשיני		לשנ		הפעיל
תמצתי		מצת		פיעל
תשילי		נשל		הפעיל
מוחמצת		חמצן		הופעל
השיל		נשל		הפעיל
נוטו		נוט		פיעל
הוצתי		נצת		הפעיל
מדיפים		נדף		הפעיל
צור		יצר		פעל
נכרו		נכר		פיעל
מזיקות		נזק		הפעיל
מוגשים		נגש		הופעל
*הדק		נדק		פעל
משיקים		נשק		הפעיל
נצבה		יצב		נפעל
נדבה		נדב		פיעל
המרתי		המר		פיעל
הגרתי		נגר		פיעל
תמצמצי		צמצמ		פיעל
נגשתם		נגש		נפעל
נגנתם		נגן		פיעל
יובשו		יבש		פועל
יותזו		נתז		פועל
מאובזר		אבזר		פיעל
משתפשף	תפשפ		התפעל
ממלמלת	מלמל		פיעל
נדפים		נדפ		נפעל
אתיר		יתר		פיעל
יהרהר		הרהר		פיעל
