עמ' 361 תרגיל 6 חלק א'

פועל		שורש		בנין		זמן		גוף
הצטמק		צ.מ.ק		התפעל		עבר		נסתר
הצטברו		צ.ב.ר		התפעל		עבר		נסתרים
תסתבן		ס.ב.ן		התפעל		עתיד		נוכח
נזדמנו		ז.מ.ן		התפעל		עבר		נסתרים
מתמר		ת.מ.ר		התפעל		הווה		נסתר

חלק ב'
פועל		שורש		בנין
-----------------------------------------------
התנדבנו		נ.ד.ב		התפעל	
מרמז		ר.מ.ז		פיעל
צולמנו		צ.ל.מ		פועל
משתלם		ש.ל.מ		התפעל
מזדקפת		ז.ק.פ		התפעל
מטפלים		ט.פ.ל		פיעל
מסמנות		ס.מ.נ		פיעל
מזגו		מ.ז.ג		פיעל
מטופלים	ט.פ.ל		פועל
להתרגז		ר.ג.ז		התפעל
קוצרו		ק.צ.ר		פועל
תבלו		ת.ב.ל		פיעל
מפוסקים	פ.ס.ק		פועל
הצטלמתי	צ.ל.מ		התפעל
תחדשו		ח.ד.ש		פיעל
הצטדקו		צ.ד.ק		התפעל
מתנו		מ.ת.נ		פיעל
התמם		ת.מ.מ		התפעל
